iter	Passed	Remaining
0	160	160795
1	169	84345
2	181	60174
3	188	46919
4	194	38784
5	202	33582
6	210	29868
7	216	26830
8	228	25167
9	239	23726
10	245	22115
11	252	20751
12	259	19737
13	266	18736
14	276	18180
15	282	17387
16	288	16684
17	293	15996
18	298	15393
19	304	14900
20	308	14390
21	314	13983
22	320	13593
23	324	13189
24	329	12831
25	334	12540
26	340	12257
27	344	11971
28	349	11717
29	355	11507
30	360	11268
31	365	11071
32	372	10907
33	376	10698
34	381	10524
35	387	10366
36	394	10267
37	401	10175
38	406	10026
39	412	9896
40	418	9777
41	422	9641
42	428	9525
43	433	9419
44	438	9306
45	443	9192
46	448	9087
47	452	8972
48	457	8870
49	463	8807
50	468	8718
51	473	8628
52	480	8583
53	485	8502
54	491	8450
55	497	8378
56	501	8303
57	507	8236
58	512	8166
59	517	8101
60	522	8045
61	527	7975
62	531	7905
63	536	7850
64	543	7813
65	547	7753
66	552	7697
67	558	7649
68	564	7618
69	569	7563
70	575	7529
71	580	7482
72	585	7434
73	591	7402
74	596	7358
75	601	7314
76	607	7283
77	612	7241
78	617	7197
79	623	7174
80	628	7134
81	633	7093
82	640	7073
83	645	7034
84	650	6998
85	655	6971
86	660	6934
87	665	6892
88	671	6872
89	676	6837
90	680	6800
91	688	6791
92	693	6760
93	698	6736
94	703	6701
95	707	6666
96	712	6634
97	718	6611
98	723	6582
99	728	6556
100	733	6527
101	737	6494
102	741	6461
103	750	6462
104	755	6435
105	763	6441
106	773	6455
107	823	6799
108	836	6834
109	843	6824
110	850	6810
111	854	6778
112	864	6787
113	870	6765
114	878	6758
115	884	6743
116	891	6725
117	899	6726
118	911	6745
119	920	6747
120	927	6740
121	933	6720
122	955	6811
123	963	6803
124	969	6784
125	976	6776
126	985	6774
127	993	6769
128	999	6750
129	1006	6734
130	1012	6719
131	1019	6704
132	1026	6688
133	1031	6667
134	1036	6644
135	1043	6630
136	1049	6611
137	1056	6601
138	1063	6587
139	1070	6574
140	1076	6559
141	1083	6544
142	1089	6531
143	1095	6514
144	1102	6503
145	1108	6484
146	1115	6470
147	1121	6453
148	1126	6435
149	1133	6421
150	1138	6403
151	1144	6383
152	1150	6368
153	1155	6347
154	1160	6327
155	1166	6309
156	1171	6292
157	1181	6294
158	1187	6281
159	1193	6264
160	1198	6245
161	1204	6230
162	1210	6216
163	1216	6198
164	1221	6183
165	1227	6166
166	1232	6148
167	1239	6140
168	1246	6127
169	1252	6116
170	1258	6099
171	1264	6087
172	1270	6072
173	1276	6061
174	1284	6055
175	1290	6042
176	1296	6026
177	1302	6013
178	1307	5997
179	1314	5988
180	1319	5972
181	1326	5960
182	1332	5947
183	1338	5934
184	1345	5927
185	1351	5914
186	1357	5902
187	1363	5888
188	1369	5878
189	1375	5865
190	1381	5850
191	1387	5839
192	1393	5825
193	1399	5815
194	1406	5805
195	1411	5790
196	1417	5779
197	1426	5776
198	1435	5776
199	1444	5778
200	1452	5773
201	1459	5764
202	1464	5750
203	1470	5739
204	1477	5728
205	1483	5716
206	1489	5706
207	1495	5693
208	1502	5685
209	1510	5682
210	1518	5677
211	1524	5667
212	1530	5656
213	1538	5652
214	1543	5634
215	1548	5619
216	1555	5612
217	1561	5601
218	1567	5591
219	1573	5578
220	1579	5569
221	1585	5555
222	1590	5540
223	1594	5524
224	1600	5512
225	1605	5497
226	1611	5486
227	1616	5472
228	1620	5455
229	1628	5451
230	1634	5440
231	1639	5425
232	1644	5414
233	1649	5400
234	1655	5389
235	1660	5374
236	1665	5361
237	1669	5345
238	1675	5333
239	1679	5318
240	1685	5307
241	1689	5293
242	1694	5279
243	1699	5264
244	1703	5250
245	1708	5236
246	1713	5223
247	1717	5208
248	1722	5196
249	1727	5182
250	1732	5171
251	1737	5157
252	1742	5145
253	1749	5137
254	1753	5124
255	1758	5110
256	1763	5098
257	1768	5084
258	1773	5074
259	1779	5064
260	1783	5049
261	1788	5038
262	1793	5025
263	1797	5012
264	1802	4999
265	1807	4987
266	1811	4974
267	1816	4960
268	1820	4948
269	1825	4934
270	1829	4922
271	1834	4909
272	1840	4900
273	1844	4887
274	1849	4875
275	1854	4863
276	1858	4851
277	1862	4838
278	1869	4831
279	1874	4820
280	1879	4808
281	1884	4797
282	1889	4786
283	1893	4774
284	1898	4763
285	1903	4751
286	1907	4739
287	1937	4790
288	1945	4786
289	1951	4778
290	1958	4770
291	1964	4762
292	1971	4757
293	1977	4748
294	1982	4738
295	1988	4728
296	1994	4721
297	2001	4714
298	2006	4703
299	2012	4696
300	2018	4686
301	2023	4676
302	2029	4668
303	2033	4656
304	2038	4645
305	2044	4636
306	2050	4627
